"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00361","LinDA","Pro-inflammatory","Pro-survival","0.0554023569355075","BH",0.346711524048015
"ko00040","LinDA","Pro-inflammatory","Pro-survival","0.533565506950981","BH",0.996653130435666
"ko00730","LinDA","Pro-inflammatory","Pro-survival","0.528603722484837","BH",0.996653130435666
"ko00362","LinDA","Pro-inflammatory","Pro-survival","0.361222303741107","BH",0.950875637578996
"ko01040","LinDA","Pro-inflammatory","Pro-survival","0.953503151193785","BH",0.996653130435666
"ko00603","LinDA","Pro-inflammatory","Pro-survival","0.721348208575359","BH",0.996653130435666
"ko03018","LinDA","Pro-inflammatory","Pro-survival","0.680647750958763","BH",0.996653130435666
"ko00281","LinDA","Pro-inflammatory","Pro-survival","0.00536897680571468","BH",0.0694387666872432
"ko00280","LinDA","Pro-inflammatory","Pro-survival","0.981204211055224","BH",0.996653130435666
"ko03013","LinDA","Pro-inflammatory","Pro-survival","0.845132770179652","BH",0.996653130435666
"ko04626","LinDA","Pro-inflammatory","Pro-survival","0.924599954808453","BH",0.996653130435666
"ko05200","LinDA","Pro-inflammatory","Pro-survival","0.163873503280416","BH",0.662322075758348
"ko00601","LinDA","Pro-inflammatory","Pro-survival","0.00311010169664946","BH",0.0464122868576919
"ko00312","LinDA","Pro-inflammatory","Pro-survival","0.296253752962951","BH",0.832945334417572
"ko05020","LinDA","Pro-inflammatory","Pro-survival","0.781726522809089","BH",0.996653130435666
"ko05143","LinDA","Pro-inflammatory","Pro-survival","0.121593569414675","BH",0.604850063242229
"ko00523","LinDA","Pro-inflammatory","Pro-survival","0.798958391999165","BH",0.996653130435666
"ko00520","LinDA","Pro-inflammatory","Pro-survival","0.821356833120846","BH",0.996653130435666
"ko00521","LinDA","Pro-inflammatory","Pro-survival","0.875738003877722","BH",0.996653130435666
"ko05146","LinDA","Pro-inflammatory","Pro-survival","5.33497727941899e-05","BH",0.00517492796103642
"ko05145","LinDA","Pro-inflammatory","Pro-survival","0.000376486911816229","BH",0.00882433491414404
"ko00052","LinDA","Pro-inflammatory","Pro-survival","0.416844164302579","BH",0.996653130435666
"ko00053","LinDA","Pro-inflammatory","Pro-survival","0.846579369517601","BH",0.996653130435666
"ko00051","LinDA","Pro-inflammatory","Pro-survival","0.578214474552977","BH",0.996653130435666
"ko00401","LinDA","Pro-inflammatory","Pro-survival","0.552714157797039","BH",0.996653130435666
"ko00400","LinDA","Pro-inflammatory","Pro-survival","0.88749410989403","BH",0.996653130435666
"ko04020","LinDA","Pro-inflammatory","Pro-survival","0.0129520250679474","BH",0.104695535965908
"ko00350","LinDA","Pro-inflammatory","Pro-survival","0.77851635652498","BH",0.996653130435666
"ko00480","LinDA","Pro-inflammatory","Pro-survival","0.35289208207021","BH",0.950875637578996
"ko00643","LinDA","Pro-inflammatory","Pro-survival","0.567134917030702","BH",0.996653130435666
"ko00642","LinDA","Pro-inflammatory","Pro-survival","0.829280819019554","BH",0.996653130435666
"ko00640","LinDA","Pro-inflammatory","Pro-survival","0.787166205261067","BH",0.996653130435666
"ko00720","LinDA","Pro-inflammatory","Pro-survival","0.315056559986118","BH",0.873156751961527
"ko00960","LinDA","Pro-inflammatory","Pro-survival","0.280024804836565","BH",0.810818091616323
"ko02020","LinDA","Pro-inflammatory","Pro-survival","0.628720477288914","BH",0.996653130435666
"ko00120","LinDA","Pro-inflammatory","Pro-survival","0.935554643205392","BH",0.996653130435666
"ko03008","LinDA","Pro-inflammatory","Pro-survival","0.735812373052171","BH",0.996653130435666
"ko05414","LinDA","Pro-inflammatory","Pro-survival","0.0129520250679474","BH",0.104695535965908
"ko00290","LinDA","Pro-inflammatory","Pro-survival","0.770824035500334","BH",0.996653130435666
"ko04614","LinDA","Pro-inflammatory","Pro-survival","0.490796037519904","BH",0.996653130435666
"ko03410","LinDA","Pro-inflammatory","Pro-survival","0.926931965070386","BH",0.996653130435666
"ko05010","LinDA","Pro-inflammatory","Pro-survival","0.00572762955216964","BH",0.0694475083200569
"ko05012","LinDA","Pro-inflammatory","Pro-survival","3.7057813011259e-05","BH",0.00517492796103642
"ko00980","LinDA","Pro-inflammatory","Pro-survival","0.996653130435666","BH",0.996653130435666
"ko00410","LinDA","Pro-inflammatory","Pro-survival","0.865125360402194","BH",0.996653130435666
"ko00983","LinDA","Pro-inflammatory","Pro-survival","0.81531321472063","BH",0.996653130435666
"ko05150","LinDA","Pro-inflammatory","Pro-survival","0.842456699835194","BH",0.996653130435666
"ko00791","LinDA","Pro-inflammatory","Pro-survival","0.0500411663656933","BH",0.32359954249815
"ko00790","LinDA","Pro-inflammatory","Pro-survival","0.159079096829514","BH",0.656624357126079
"ko00020","LinDA","Pro-inflammatory","Pro-survival","0.190979318573641","BH",0.710952097887946
"ko00710","LinDA","Pro-inflammatory","Pro-survival","0.91466713939216","BH",0.996653130435666
"ko02060","LinDA","Pro-inflammatory","Pro-survival","0.850884032437482","BH",0.996653130435666
"ko00340","LinDA","Pro-inflammatory","Pro-survival","0.866123484411305","BH",0.996653130435666
"ko00785","LinDA","Pro-inflammatory","Pro-survival","0.129357254842602","BH",0.62738268598662
"ko00550","LinDA","Pro-inflammatory","Pro-survival","0.922881131859288","BH",0.996653130435666
"ko00650","LinDA","Pro-inflammatory","Pro-survival","0.742076343526511","BH",0.996653130435666
"ko02030","LinDA","Pro-inflammatory","Pro-survival","0.577587147298086","BH",0.996653130435666
"ko03320","LinDA","Pro-inflammatory","Pro-survival","0.101843974866526","BH",0.548825864558501
"ko04612","LinDA","Pro-inflammatory","Pro-survival","0.730676257773553","BH",0.996653130435666
"ko04621","LinDA","Pro-inflammatory","Pro-survival","0.459757206707172","BH",0.996653130435666
"ko04622","LinDA","Pro-inflammatory","Pro-survival","0.158910679308512","BH",0.656624357126079
"ko00910","LinDA","Pro-inflammatory","Pro-survival","0.715187789588","BH",0.996653130435666
"ko00460","LinDA","Pro-inflammatory","Pro-survival","0.940419680466886","BH",0.996653130435666
"ko00830","LinDA","Pro-inflammatory","Pro-survival","0.675888566884594","BH",0.996653130435666
"ko00780","LinDA","Pro-inflammatory","Pro-survival","0.366007531640069","BH",0.950875637578996
"ko00511","LinDA","Pro-inflammatory","Pro-survival","0.968014363242193","BH",0.996653130435666
"ko00970","LinDA","Pro-inflammatory","Pro-survival","0.883445074960636","BH",0.996653130435666
"ko00030","LinDA","Pro-inflammatory","Pro-survival","0.481041697458077","BH",0.996653130435666
"ko04972","LinDA","Pro-inflammatory","Pro-survival","0.0129520250679474","BH",0.104695535965908
"ko00230","LinDA","Pro-inflammatory","Pro-survival","0.844738187373907","BH",0.996653130435666
"ko04122","LinDA","Pro-inflammatory","Pro-survival","0.597491739517242","BH",0.996653130435666
"ko00540","LinDA","Pro-inflammatory","Pro-survival","0.0017777787107093","BH",0.0313535518070549
"ko05014","LinDA","Pro-inflammatory","Pro-survival","0.0866673032855796","BH",0.525420526168826
"ko00660","LinDA","Pro-inflammatory","Pro-survival","0.573519258772982","BH",0.996653130435666
"ko03020","LinDA","Pro-inflammatory","Pro-survival","0.502697586159151","BH",0.996653130435666
