"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00051","edgeR","Pro-inflammatory","Pro-survival","0.778570289506062","BH",0.994105367800753
"ko00401","edgeR","Pro-inflammatory","Pro-survival","0.889804063164398","BH",0.994105367800753
"ko00400","edgeR","Pro-inflammatory","Pro-survival","0.942339319324444","BH",0.994105367800753
"ko04020","edgeR","Pro-inflammatory","Pro-survival","0.080486152309301","BH",0.520477118266813
"ko00350","edgeR","Pro-inflammatory","Pro-survival","0.9585095234151","BH",0.994105367800753
"ko00480","edgeR","Pro-inflammatory","Pro-survival","0.955321849241675","BH",0.994105367800753
"ko00643","edgeR","Pro-inflammatory","Pro-survival","0.787259123664154","BH",0.994105367800753
"ko00642","edgeR","Pro-inflammatory","Pro-survival","0.986203413894242","BH",0.994105367800753
"ko00640","edgeR","Pro-inflammatory","Pro-survival","0.841983717625936","BH",0.994105367800753
"ko00720","edgeR","Pro-inflammatory","Pro-survival","0.814382442875158","BH",0.994105367800753
"ko00960","edgeR","Pro-inflammatory","Pro-survival","0.722971447392751","BH",0.994105367800753
"ko02020","edgeR","Pro-inflammatory","Pro-survival","0.771793522229329","BH",0.994105367800753
"ko00120","edgeR","Pro-inflammatory","Pro-survival","0.852751373875435","BH",0.994105367800753
"ko03008","edgeR","Pro-inflammatory","Pro-survival","0.991249515071513","BH",0.994105367800753
"ko05414","edgeR","Pro-inflammatory","Pro-survival","0.080486152309301","BH",0.520477118266813
"ko00290","edgeR","Pro-inflammatory","Pro-survival","0.805320633138668","BH",0.994105367800753
"ko04614","edgeR","Pro-inflammatory","Pro-survival","0.0531894215267862","BH",0.429947824008188
"ko03410","edgeR","Pro-inflammatory","Pro-survival","0.891306739508352","BH",0.994105367800753
"ko05010","edgeR","Pro-inflammatory","Pro-survival","0.357874114974983","BH",0.994105367800753
"ko05012","edgeR","Pro-inflammatory","Pro-survival","3.44979339055009e-14","BH",2.23086639255572e-12
"ko00980","edgeR","Pro-inflammatory","Pro-survival","0.652122879522012","BH",0.994105367800753
"ko00410","edgeR","Pro-inflammatory","Pro-survival","0.971659250938448","BH",0.994105367800753
"ko00983","edgeR","Pro-inflammatory","Pro-survival","0.874630734826511","BH",0.994105367800753
"ko05150","edgeR","Pro-inflammatory","Pro-survival","0.282607883858871","BH",0.994105367800753
"ko00791","edgeR","Pro-inflammatory","Pro-survival","0.698277504229883","BH",0.994105367800753
"ko00790","edgeR","Pro-inflammatory","Pro-survival","0.713035555630713","BH",0.994105367800753
"ko00020","edgeR","Pro-inflammatory","Pro-survival","0.725507892777636","BH",0.994105367800753
"ko00710","edgeR","Pro-inflammatory","Pro-survival","0.957179132299974","BH",0.994105367800753
"ko02060","edgeR","Pro-inflammatory","Pro-survival","0.791155136308392","BH",0.994105367800753
"ko00340","edgeR","Pro-inflammatory","Pro-survival","0.957461033262256","BH",0.994105367800753
"ko00785","edgeR","Pro-inflammatory","Pro-survival","0.596182742080448","BH",0.994105367800753
"ko00550","edgeR","Pro-inflammatory","Pro-survival","0.947449132661097","BH",0.994105367800753
"ko00650","edgeR","Pro-inflammatory","Pro-survival","0.837996069702817","BH",0.994105367800753
"ko02030","edgeR","Pro-inflammatory","Pro-survival","0.645460434584015","BH",0.994105367800753
"ko03320","edgeR","Pro-inflammatory","Pro-survival","0.62013135617017","BH",0.994105367800753
"ko04612","edgeR","Pro-inflammatory","Pro-survival","0.935600472449027","BH",0.994105367800753
"ko04621","edgeR","Pro-inflammatory","Pro-survival","0.804153710687623","BH",0.994105367800753
"ko04622","edgeR","Pro-inflammatory","Pro-survival","0.265658273640556","BH",0.994105367800753
"ko00910","edgeR","Pro-inflammatory","Pro-survival","0.977570900613209","BH",0.994105367800753
"ko00460","edgeR","Pro-inflammatory","Pro-survival","0.902233483184377","BH",0.994105367800753
"ko00830","edgeR","Pro-inflammatory","Pro-survival","0.520757364282228","BH",0.994105367800753
"ko00780","edgeR","Pro-inflammatory","Pro-survival","0.775417688115977","BH",0.994105367800753
"ko00511","edgeR","Pro-inflammatory","Pro-survival","0.92361450214228","BH",0.994105367800753
"ko00970","edgeR","Pro-inflammatory","Pro-survival","0.959487699223596","BH",0.994105367800753
"ko00030","edgeR","Pro-inflammatory","Pro-survival","0.717916783371768","BH",0.994105367800753
"ko04972","edgeR","Pro-inflammatory","Pro-survival","0.080486152309301","BH",0.520477118266813
"ko00230","edgeR","Pro-inflammatory","Pro-survival","0.961051885966477","BH",0.994105367800753
"ko04122","edgeR","Pro-inflammatory","Pro-survival","0.744556357036063","BH",0.994105367800753
"ko00540","edgeR","Pro-inflammatory","Pro-survival","0.0741674645794367","BH",0.520477118266813
"ko05014","edgeR","Pro-inflammatory","Pro-survival","0.0263071891042117","BH",0.243028318391289
"ko00660","edgeR","Pro-inflammatory","Pro-survival","0.668049746079399","BH",0.994105367800753
"ko03020","edgeR","Pro-inflammatory","Pro-survival","0.691035643586688","BH",0.994105367800753
"ko00982","edgeR","Pro-inflammatory","Pro-survival","0.652721043932643","BH",0.994105367800753
"ko03010","edgeR","Pro-inflammatory","Pro-survival","0.974478599590371","BH",0.994105367800753
"ko00140","edgeR","Pro-inflammatory","Pro-survival","0.47993443088785","BH",0.994105367800753
"ko05100","edgeR","Pro-inflammatory","Pro-survival","0.446551887297817","BH",0.994105367800753
"ko00860","edgeR","Pro-inflammatory","Pro-survival","0.694869340942982","BH",0.994105367800753
"ko05410","edgeR","Pro-inflammatory","Pro-survival","0.0840728718016115","BH",0.52613345579073
"ko00330","edgeR","Pro-inflammatory","Pro-survival","0.890301236909186","BH",0.994105367800753
"ko00908","edgeR","Pro-inflammatory","Pro-survival","0.799628032077077","BH",0.994105367800753
"ko04930","edgeR","Pro-inflammatory","Pro-survival","0.923930667840757","BH",0.994105367800753
"ko03430","edgeR","Pro-inflammatory","Pro-survival","0.905484037780583","BH",0.994105367800753
"ko00906","edgeR","Pro-inflammatory","Pro-survival","0.0254021269583342","BH",0.243028318391289
"ko00900","edgeR","Pro-inflammatory","Pro-survival","0.895859686190307","BH",0.994105367800753
"ko00903","edgeR","Pro-inflammatory","Pro-survival","0.600535693524942","BH",0.994105367800753
"ko00471","edgeR","Pro-inflammatory","Pro-survival","0.965889219876171","BH",0.994105367800753
"ko00472","edgeR","Pro-inflammatory","Pro-survival","0.0985463245846922","BH",0.597437092794696
"ko00473","edgeR","Pro-inflammatory","Pro-survival","0.827611162617795","BH",0.994105367800753
"ko05111","edgeR","Pro-inflammatory","Pro-survival","0.838953668011454","BH",0.994105367800753
"ko04210","edgeR","Pro-inflammatory","Pro-survival","0.178594867857098","BH",0.962427899007695
"ko00240","edgeR","Pro-inflammatory","Pro-survival","0.930460636229922","BH",0.994105367800753
"ko04011","edgeR","Pro-inflammatory","Pro-survival","0.776002811792196","BH",0.994105367800753
"ko00944","edgeR","Pro-inflammatory","Pro-survival","0.786166499992851","BH",0.994105367800753
"ko04113","edgeR","Pro-inflammatory","Pro-survival","3.08044428584022e-05","BH",0.000498005159544169
"ko04070","edgeR","Pro-inflammatory","Pro-survival","0.810383979236511","BH",0.994105367800753
"ko03420","edgeR","Pro-inflammatory","Pro-survival","0.9111311504408","BH",0.994105367800753
"ko00770","edgeR","Pro-inflammatory","Pro-survival","0.917448505001146","BH",0.994105367800753
"ko02040","edgeR","Pro-inflammatory","Pro-survival","0.747404585039435","BH",0.994105367800753
"ko00670","edgeR","Pro-inflammatory","Pro-survival","0.927794516553524","BH",0.994105367800753
"ko04920","edgeR","Pro-inflammatory","Pro-survival","0.344049153925005","BH",0.994105367800753
"ko00930","edgeR","Pro-inflammatory","Pro-survival","0.750336572567188","BH",0.994105367800753
"ko04112","edgeR","Pro-inflammatory","Pro-survival","0.945936077897528","BH",0.994105367800753
