"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00072","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00468700896649891,"BH",0.0452119292943344
"ko05219","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.271303618613218,"BH",0.364241536408058
"ko05215","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.143480037908661,"BH",0.233265111580778
"ko05211","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.910374888227894,"BH",0.915091856560681
"ko05210","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00150353811093889,"BH",0.0368815120627325
"ko01055","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00871350916637626,"BH",0.0489740750371717
"ko04910","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.044437859365821,"BH",0.102630294249634
"ko00531","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0973905640710787,"BH",0.174942309535086
"ko00360","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.368670566542912,"BH",0.457782150552944
"ko00633","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.155431722477788,"BH",0.244159952718145
"ko00630","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0760573191726609,"BH",0.1482926625075
"ko00363","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.000901027340632742,"BH",0.0368815120627325
"ko00364","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.284861032671736,"BH",0.379814710228981
"ko04115","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00151101083318047,"BH",0.0368815120627325
"ko00121","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0671708005921908,"BH",0.134341601184382
"ko04914","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.14376219296571,"BH",0.233265111580778
"ko00430","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00365916181680035,"BH",0.0452119292943344
"ko02010","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00830878919716272,"BH",0.0487859515271536
"ko00130","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.464115116378832,"BH",0.545538044132114
"ko03050","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.28015822087474,"BH",0.37483237827379
"ko00361","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.656517659435107,"BH",0.711533105756485
"ko00040","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0132613847494778,"BH",0.0549962004294695
"ko00730","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00999143334225092,"BH",0.0507113851101792
"ko00362","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00403096378501386,"BH",0.0452119292943344
"ko01040","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0347916919877442,"BH",0.0878138917270108
"ko00603","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0455974585322748,"BH",0.10406949359131
"ko03018","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0212358802977702,"BH",0.0682851568238646
"ko00281","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.167301271302751,"BH",0.255562571911289
"ko00280","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0298991127938007,"BH",0.0822755727942885
"ko03013","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00270122131764575,"BH",0.0452119292943344
"ko04626","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0565984955807119,"BH",0.120001181886974
"ko05200","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.226308978045607,"BH",0.315855695977322
"ko00601","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0120504018500006,"BH",0.0547369388927148
"ko00312","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0837883545611982,"BH",0.157052567969782
